team_name,color_1_hex,color_1_general,color_2_hex,color_2_general,team_id,
Boston Celtics,#007A33,Green,#BA9653,Beige,1610612738,
Brooklyn Nets,#000000,Black,#FFFFFF,White,1610612751,
New York Knicks,#006BB6,Blue,#F58426,Orange,1610612752,
Philadelphia 76ers,#006BB6,Blue,#ED174C,Red,1610612755,
Toronto Raptors,#CE1141,Red,#000000,Black,1610612761,
Chicago Bulls,#CE1141,Red,#000000,Black,1610612741,
Cleveland Cavaliers,#860038,Maroon,#FDBB30,Yellow,1610612739,
Detroit Pistons,#C8102E,Red,#1D42BA,Blue,1610612765,
Indiana Pacers,#002D62,Navy,#FDBB30,Yellow,1610612754,
Milwaukee Bucks,#00471B,Green,#EEE1C6,Beige,1610612749,
Atlanta Hawks,#E03A3E,Red,#FDB927,Yellow,1610612737,
Charlotte Hornets,#1D1160,Purple,#00788C,Teal,1610612766,
Miami Heat,#98002E,Red,#F9A01B,Yellow,1610612748,
Orlando Magic,#0077C0,Blue,#C4CED4,Grey,1610612753,
Washington Wizards,#002B5C,Navy,#E31837,Red,1610612764,
Denver Nuggets,#0E2240,Navy,#FEC524,Yellow,1610612743,
Minnesota Timberwolves,#0C2340,Navy,#236192,Blue,1610612750,
Oklahoma City Thunder,#007AC1,Blue,#EF3B24,Orange,1610612760,
Portland Trail Blazers,#E03A3E,Red,#000000,Black,1610612757,
Utah Jazz,#61966,Purple,#79a3dc,Blue,1610612762,
Golden State Warriors,#1D428A,Blue,#FFC72C,Yellow,1610612744,
Los Angeles Clippers,#C8102E,Red,#1D428A,Blue,1610612746,
Los Angeles Lakers,#552583,Purple,#FDB927,Yellow,1610612747,
Phoenix Suns,#1D1160,Purple,#E56020,Orange,1610612756,
Sacramento Kings,#5A2D81,Purple,#63727A,Grey,1610612758,
Dallas Mavericks,#00538C,Blue,#002B5E,Navy,1610612742,
Houston Rockets,#CE1141,Red,#000000,Black,1610612745,
Memphis Grizzlies,#5D76A9,Blue,#12173F,Navy,1610612763,
New Orleans Pelicans,#0C2340,Navy,#0C2340,Red,1610612740,
San Antonio Spurs,#C4CED4,Grey,#000000,Black,1610612759,
